,Driver,QualiPos,RacePos,DNF
0,raikkonen,13,6,False
1,alonso,19,12,False
2,alonso,21,13,False
3,raikkonen,14,22,True
4,raikkonen,10,12,True
5,alonso,19,19,True
6,raikkonen,10,20,True
7,alonso,18,22,True
8,raikkonen,9,8,False
9,alonso,18,13,False
10,raikkonen,9,4,False
11,alonso,18,15,True
12,raikkonen,15,10,False
13,alonso,18,13,True
14,raikkonen,7,4,False
15,alonso,22,19,True
16,raikkonen,9,10,False
17,alonso,21,14,False
18,raikkonen,13,7,False
19,alonso,21,17,False
20,raikkonen,7,5,False
21,alonso,21,16,False
22,alonso,21,10,False
23,raikkonen,8,17,True
24,raikkonen,9,7,False
25,alonso,18,18,True
26,raikkonen,12,19,True
27,alonso,20,22,True
28,raikkonen,9,7,False
29,alonso,21,13,True
30,alonso,17,21,True
31,raikkonen,11,22,True
32,alonso,18,11,False
33,raikkonen,12,21,True
34,raikkonen,5,3,False
35,raikkonen,5,18,True
36,raikkonen,5,12,False
37,raikkonen,5,14,True
38,raikkonen,5,18,True
39,raikkonen,6,20,True
40,raikkonen,6,19,True
41,raikkonen,5,4,False
42,raikkonen,6,3,False
43,raikkonen,5,14,True
44,raikkonen,4,2,False
45,raikkonen,5,11,True
46,raikkonen,11,4,False
47,raikkonen,2,16,True
48,raikkonen,6,15,True
49,raikkonen,6,17,True
50,raikkonen,4,3,False
51,raikkonen,15,3,False
52,alonso,10,7,False
53,raikkonen,7,1,False
54,alonso,1,3,False
55,raikkonen,4,2,False
56,alonso,10,3,False
57,raikkonen,6,2,False
58,alonso,8,6,False
59,alonso,3,2,False
60,raikkonen,20,20,True
61,raikkonen,2,2,False
62,alonso,19,16,True
63,raikkonen,2,2,False
64,alonso,8,5,False
65,alonso,4,4,False
66,raikkonen,20,6,False
67,alonso,8,4,False
68,raikkonen,1,20,True
69,raikkonen,4,4,False
70,alonso,7,18,True
71,raikkonen,3,3,False
72,alonso,8,18,True
73,alonso,8,4,False
74,raikkonen,5,19,True
75,alonso,1,1,False
76,raikkonen,7,2,False
77,raikkonen,4,4,False
78,alonso,20,8,False
79,raikkonen,1,2,False
